130, Murcia, R. Madrid, 13, 28, -15, 13, 1, 8, 13, 29, 12, 0.33333334, 0.16666667, 1, 1, X
131, Betis, At. Madrid, 11, 24, -13, 19, 5, 13, 20, 27, 17, 0.33333334, 0.0, 0, 2, 2
132, Deportivo, Osasuna, 13, 12, 1, 16, 17, 12, 19, 14, 16, 0.16666667, 0.2857143, 1, 2, 2
133, Getafe, Levante, 15, 7, 8, 11, 20, 14, 16, 10, 27, 0.5, 0.14285715, 2, 1, 1
134, Mallorca, Murcia, 19, 14, 5, 8, 13, 23, 20, 9, 14, 0.5, 0.2857143, 1, 1, X
135, Espanyol, Barcelona, 25, 27, -2, 4, 3, 19, 14, 26, 10, 0.6666667, 0.42857143, 1, 1, X
136, R. Madrid, Racing, 29, 23, 6, 1, 7, 30, 13, 11, 9, 1.0, 0.42857143, 3, 1, 1
137, Almería, Sevilla, 13, 15, -2, 14, 10, 11, 15, 24, 19, 0.16666667, 0.2857143, 1, 0, 1
138, Recreativo, Zaragoza, 12, 18, -6, 18, 9, 8, 18, 20, 20, 0.33333334, 0.14285715, 2, 1, 1
139, Valencia, Athletic, 24, 14, 10, 6, 12, 20, 20, 12, 16, 0.5, 0.71428573, 0, 3, 2
140, Valladolid, Villarreal, 13, 28, -15, 15, 2, 19, 26, 26, 19, 0.16666667, 0.2857143, 2, 0, 1
141, Sevilla, Murcia, 15, 15, 0, 14, 16, 24, 20, 10, 15, 0.5714286, 0.16666667, 3, 1, 1
142, Athletic, R. Madrid, 17, 32, -15, 11, 1, 15, 16, 33, 14, 0.14285715, 0.42857143, 0, 1, 2
143, Zaragoza, Espanyol, 18, 26, -8, 9, 5, 21, 22, 20, 15, 0.5714286, 0.14285715, 3, 3, X
144, Villarreal, Betis, 28, 11, 17, 3, 19, 26, 21, 13, 22, 0.71428573, 0.5714286, 0, 1, 2
145, Racing, Mallorca, 23, 20, 3, 7, 8, 12, 12, 24, 21, 0.5714286, 0.2857143, 3, 1, 1
146, Barcelona, Deportivo, 28, 13, 15, 2, 18, 27, 11, 13, 21, 1.0, 0.14285715, 2, 1, 1
147, At. Madrid, Getafe, 27, 18, 9, 4, 10, 29, 17, 16, 17, 0.71428573, 0.42857143, 1, 0, 1
148, Levante, Recreativo, 7, 15, -8, 20, 17, 11, 29, 10, 19, 0.2857143, 0.0, 0, 2, 2
149, Almería, Valladolid, 16, 16, 0, 12, 13, 12, 15, 21, 26, 0.2857143, 0.2857143, 1, 0, 1
150, Osasuna, Valencia, 15, 24, -9, 15, 6, 16, 17, 20, 23, 0.33333334, 0.2857143, 0, 0, X
151, Betis, Almería, 14, 19, -5, 18, 11, 14, 22, 13, 15, 0.2857143, 0.125, 3, 1, 1
152, Deportivo, Zaragoza, 13, 19, -6, 19, 10, 14, 23, 24, 25, 0.14285715, 0.25, 1, 1, X
153, Getafe, Villarreal, 18, 28, -10, 12, 4, 16, 18, 26, 22, 0.5714286, 0.125, 1, 3, 2
154, Mallorca, Athletic, 20, 17, 3, 8, 15, 25, 24, 15, 17, 0.42857143, 0.25, 0, 0, X
155, Espanyol, Levante, 27, 7, 20, 5, 20, 23, 18, 11, 31, 0.5714286, 0.375, 1, 0, 1
156, R. Madrid, Osasuna, 35, 17, 18, 1, 14, 34, 14, 17, 18, 1.0, 0.5, 2, 0, 1
157, Recreativo, At. Madrid, 18, 30, -12, 13, 3, 12, 19, 30, 17, 0.42857143, 0.25, 0, 0, X
158, Valencia, Barcelona, 25, 31, -6, 7, 2, 20, 23, 29, 12, 0.42857143, 0.625, 0, 3, 2
159, Valladolid, Sevilla, 16, 19, -3, 16, 9, 21, 27, 28, 22, 0.2857143, 0.25, 0, 0, X
160, Murcia, Racing, 15, 26, -11, 17, 6, 11, 18, 15, 13, 0.2857143, 0.125, 2, 1, 1
161, Sevilla, Racing, 20, 26, -6, 9, 6, 28, 22, 16, 15, 0.625, 0.125, 4, 1, 1
162, Zaragoza, Valencia, 20, 25, -5, 10, 7, 25, 26, 20, 26, 0.5, 0.125, 2, 2, X
163, Athletic, Murcia, 18, 18, 0, 13, 15, 15, 17, 13, 19, 0.125, 0.375, 1, 1, X
164, Villarreal, Recreativo, 31, 19, 12, 4, 12, 29, 23, 12, 19, 0.625, 0.625, 1, 1, X
165, Barcelona, R. Madrid, 34, 38, -4, 2, 1, 32, 12, 36, 14, 1.0, 0.25, 0, 1, 2
166, Almería, Getafe, 19, 18, 1, 11, 14, 14, 18, 17, 21, 0.375, 0.25, 0, 2, 2
167, At. Madrid, Espanyol, 31, 30, 1, 3, 5, 30, 17, 24, 18, 0.75, 0.375, 1, 2, 2
168, Levante, Deportivo, 7, 14, -7, 20, 19, 11, 32, 15, 24, 0.25, 0.0, 0, 1, 2
169, Osasuna, Mallorca, 17, 21, -4, 16, 8, 17, 20, 25, 24, 0.25, 0.25, 3, 1, 1
170, Valladolid, Betis, 17, 17, 0, 17, 18, 21, 27, 17, 23, 0.25, 0.25, 0, 0, X
171, Sevilla, Betis, 23, 18, 5, 8, 18, 32, 23, 17, 23, 0.6666667, 0.125, 3, 0, 1
172, Deportivo, At. Madrid, 17, 31, -14, 19, 5, 16, 24, 31, 19, 0.125, 0.33333334, 0, 3, 2
173, Getafe, Valladolid, 21, 18, 3, 11, 17, 19, 21, 21, 27, 0.5, 0.22222222, 0, 3, 2
174, Racing, Athletic, 26, 19, 7, 6, 14, 17, 19, 16, 18, 0.625, 0.22222222, 1, 0, 1
175, Mallorca, Barcelona, 21, 34, -13, 10, 2, 26, 27, 32, 13, 0.375, 0.22222222, 0, 2, 2
176, Espanyol, Villarreal, 33, 32, 1, 3, 4, 26, 19, 30, 24, 0.625, 0.44444445, 3, 0, 1
177, R. Madrid, Zaragoza, 41, 21, 20, 1, 9, 37, 14, 27, 28, 1.0, 0.5555556, 2, 0, 1
178, Recreativo, Almería, 20, 19, 1, 13, 15, 13, 20, 14, 20, 0.375, 0.22222222, 1, 1, X
179, Valencia, Levante, 26, 7, 19, 7, 20, 22, 28, 11, 33, 0.375, 0.5555556, 0, 0, X
180, Murcia, Osasuna, 19, 20, -1, 16, 12, 14, 20, 20, 21, 0.375, 0.11111111, 2, 0, 1
181, Athletic, Sevilla, 19, 26, -7, 17, 8, 16, 19, 35, 23, 0.11111111, 0.33333334, 2, 0, 1
182, Zaragoza, Mallorca, 21, 21, 0, 10, 11, 27, 30, 26, 29, 0.44444445, 0.11111111, 2, 2, X
183, Betis, Getafe, 18, 21, -3, 18, 13, 17, 26, 19, 24, 0.375, 0.1, 3, 2, 1
184, Villarreal, Deportivo, 32, 17, 15, 5, 19, 30, 27, 16, 27, 0.5555556, 0.5555556, 4, 3, 1
185, Barcelona, Murcia, 37, 22, 15, 2, 9, 34, 13, 16, 20, 0.8888889, 0.33333334, 4, 0, 1
186, At. Madrid, Valencia, 34, 27, 7, 4, 7, 34, 19, 22, 28, 0.6666667, 0.44444445, 1, 0, 1
187, Levante, R. Madrid, 8, 44, -36, 20, 1, 11, 33, 39, 14, 0.22222222, 0.0, 0, 2, 2
188, Almería, Espanyol, 20, 36, -16, 16, 3, 15, 21, 29, 19, 0.33333334, 0.22222222, 1, 0, 1
189, Osasuna, Racing, 20, 29, -9, 15, 6, 20, 23, 18, 19, 0.33333334, 0.22222222, 0, 2, 2
190, Valladolid, Recreativo, 21, 21, 0, 12, 14, 24, 27, 14, 21, 0.22222222, 0.33333334, 3, 1, 1
191, Zaragoza, Murcia, 22, 22, 0, 12, 14, 29, 32, 16, 24, 0.4, 0.11111111, 3, 1, 1
192, Betis, Recreativo, 21, 21, 0, 16, 17, 20, 28, 15, 24, 0.44444445, 0.1, 1, 1, X
193, Villarreal, Valencia, 35, 27, 8, 5, 7, 34, 30, 22, 29, 0.6, 0.5555556, 3, 0, 1
194, Getafe, Sevilla, 21, 26, -5, 15, 8, 21, 27, 35, 25, 0.44444445, 0.2, 3, 2, 1
195, Barcelona, Racing, 40, 32, 8, 2, 6, 38, 13, 20, 19, 0.9, 0.33333334, 1, 0, 1
196, At. Madrid, R. Madrid, 37, 47, -10, 3, 1, 35, 19, 41, 14, 0.7, 0.44444445, 0, 2, 2
197, Levante, Mallorca, 8, 22, -14, 20, 13, 11, 35, 28, 31, 0.2, 0.0, 2, 2, X
198, Almería, Deportivo, 23, 17, 6, 10, 19, 16, 21, 19, 31, 0.4, 0.22222222, 1, 0, 1
199, Osasuna, Athletic, 20, 22, -2, 18, 11, 20, 25, 18, 19, 0.3, 0.22222222, 2, 0, 1
200, Valladolid, Espanyol, 24, 36, -12, 9, 4, 27, 28, 29, 20, 0.3, 0.33333334, 2, 1, 1
201, Sevilla, Osasuna, 26, 23, 3, 9, 14, 37, 28, 22, 25, 0.7, 0.1, 2, 1, 1
202, Athletic, Barcelona, 22, 43, -21, 15, 2, 18, 21, 39, 13, 0.2, 0.3, 1, 1, X
203, Deportivo, Valladolid, 17, 27, -10, 19, 7, 19, 32, 29, 29, 0.11111111, 0.27272728, 3, 1, 1
204, Racing, Zaragoza, 32, 25, 7, 6, 11, 20, 20, 32, 33, 0.6666667, 0.27272728, 2, 2, X
205, Mallorca, At. Madrid, 23, 37, -14, 13, 4, 30, 33, 35, 21, 0.33333334, 0.18181819, 1, 0, 1
206, Espanyol, Betis, 36, 22, 14, 5, 16, 30, 22, 21, 29, 0.6666667, 0.36363637, 1, 2, 2
207, R. Madrid, Villarreal, 50, 38, 12, 1, 3, 43, 14, 37, 30, 1.0, 0.6363636, 3, 2, 1
208, Recreativo, Getafe, 22, 24, -2, 17, 12, 16, 25, 24, 29, 0.33333334, 0.18181819, 1, 3, 2
209, Valencia, Almería, 27, 26, 1, 8, 10, 22, 32, 17, 21, 0.33333334, 0.45454547, 0, 1, 2
210, Murcia, Levante, 22, 9, 13, 18, 20, 17, 27, 13, 37, 0.44444445, 0.09090909, 2, 3, 2
211, Zaragoza, Athletic, 26, 23, 3, 12, 16, 34, 35, 19, 22, 0.45454547, 0.1, 1, 0, 1
212, Betis, Deportivo, 25, 20, 5, 14, 19, 23, 30, 22, 33, 0.4, 0.18181819, 0, 1, 2
213, Villarreal, Mallorca, 38, 26, 12, 3, 13, 39, 33, 31, 33, 0.6363636, 0.5, 1, 1, X
214, Getafe, Espanyol, 27, 36, -9, 10, 5, 27, 30, 31, 24, 0.5, 0.27272728, 0, 1, 2
215, Barcelona, Osasuna, 44, 23, 21, 2, 15, 40, 14, 23, 27, 0.90909094, 0.3, 1, 0, 1
216, Almería, R. Madrid, 29, 53, -24, 8, 1, 18, 21, 46, 16, 0.45454547, 0.3, 2, 0, 1
